type	time	latitude	longitude	altitude (m)	name	desc
T	2023-09-16 19:41:04.001	38.990575000	-76.871135800	0.0		
T	2023-09-16 19:41:05.001	38.990575000	-76.871135800	0.0		
T	2023-09-16 19:41:06.001	38.990604400	-76.871117900	0.0		
T	2023-09-16 19:41:07	38.990604400	-76.871117900	0.0		
T	2023-09-16 19:41:08.001	38.990633600	-76.871096700	0.0		
T	2023-09-16 19:41:09.001	38.990649400	-76.871082100	0.0		
T	2023-09-16 19:41:10.001	38.990667600	-76.871068600	0.0		
T	2023-09-16 19:41:11.001	38.990684700	-76.871056300	0.0		
T	2023-09-16 19:41:12	38.990699100	-76.871043000	0.0		
T	2023-09-16 19:41:13.001	38.990714000	-76.871028800	0.0		
T	2023-09-16 19:41:14.002	38.990728400	-76.871016900	0.0		
T	2023-09-16 19:41:15.001	38.990740500	-76.871003400	0.0		
T	2023-09-16 19:41:16.001	38.990753200	-76.870986500	0.0		
T	2023-09-16 19:41:17.001	38.990753200	-76.870986500	0.0		
T	2023-09-16 19:41:18.001	38.990769800	-76.870968400	0.0		
T	2023-09-16 19:41:19	38.990787300	-76.870944200	0.0		
T	2023-09-16 19:41:20.001	38.990798400	-76.870926000	0.0		
T	2023-09-16 19:41:21.001	38.990808900	-76.870910600	0.0		
T	2023-09-16 19:41:22.001	38.990818300	-76.870893600	0.0		
T	2023-09-16 19:41:23.001	38.990829000	-76.870877400	0.0		
T	2023-09-16 19:41:24.001	38.990840500	-76.870861600	0.0		
T	2023-09-16 19:41:25.001	38.990851500	-76.870841900	0.0		
T	2023-09-16 19:41:26.001	38.990851500	-76.870841900	0.0		
T	2023-09-16 19:41:27	38.990869300	-76.870803300	0.0		
T	2023-09-16 19:41:28.001	38.990877400	-76.870785600	0.0		
T	2023-09-16 19:41:29.001	38.990885400	-76.870763000	0.0		
T	2023-09-16 19:41:30.001	38.990894000	-76.870740400	0.0		
T	2023-09-16 19:41:31.001	38.990904300	-76.870726000	0.0		
T	2023-09-16 19:41:32.001	38.990912200	-76.870708500	0.0		
T	2023-09-16 19:41:33.001	38.990922000	-76.870693300	0.0		
T	2023-09-16 19:41:34	38.990932500	-76.870679000	0.0		
T	2023-09-16 19:41:35.001	38.990941900	-76.870660900	0.0		
T	2023-09-16 19:41:36	38.990950200	-76.870640800	0.0		
T	2023-09-16 19:41:37.001	38.990956700	-76.870618300	0.0		
T	2023-09-16 19:41:38.001	38.990956700	-76.870618300	0.0		
T	2023-09-16 19:41:39.001	38.990950500	-76.870565200	0.0		
T	2023-09-16 19:41:40	38.990948600	-76.870538800	0.0		
T	2023-09-16 19:41:41.001	38.990954900	-76.870521000	0.0		
T	2023-09-16 19:41:42.001	38.990960200	-76.870502900	0.0		
T	2023-09-16 19:41:43.001	38.990963300	-76.870485400	0.0		
T	2023-09-16 19:41:44.001	38.990968500	-76.870469000	0.0		
T	2023-09-16 19:41:45.001	38.990974100	-76.870450400	0.0		
T	2023-09-16 19:41:46.001	38.990980700	-76.870432300	0.0		
T	2023-09-16 19:41:47.001	38.990986900	-76.870417500	0.0		
T	2023-09-16 19:41:48.001	38.990996800	-76.870401400	0.0		
T	2023-09-16 19:41:49.001	38.991006800	-76.870385300	0.0		
T	2023-09-16 19:41:50.001	38.991012000	-76.870367800	0.0		
T	2023-09-16 19:41:51.001	38.991020500	-76.870347700	0.0		
T	2023-09-16 19:41:52.001	38.991029300	-76.870327600	0.0		
T	2023-09-16 19:41:53.001	38.991037800	-76.870307700	0.0		
T	2023-09-16 19:41:54.001	38.991050100	-76.870288700	0.0		
T	2023-09-16 19:41:55.001	38.991050100	-76.870288700	0.0		
T	2023-09-16 19:41:56.001	38.991069800	-76.870251100	0.0		
T	2023-09-16 19:41:57.001	38.991081200	-76.870236300	0.0		
T	2023-09-16 19:41:58.001	38.991092000	-76.870224400	0.0		
T	2023-09-16 19:41:59.001	38.991103700	-76.870211800	0.0		
T	2023-09-16 19:42:00.001	38.991114600	-76.870194400	0.0		
T	2023-09-16 19:42:01.001	38.991122800	-76.870178400	0.0		
T	2023-09-16 19:42:02.001	38.991122800	-76.870178400	0.0		
T	2023-09-16 19:42:03.001	38.991144700	-76.870150500	0.0		
T	2023-09-16 19:42:04.001	38.991154400	-76.870137400	0.0		
T	2023-09-16 19:42:05.001	38.991154400	-76.870137400	0.0		
T	2023-09-16 19:42:06	38.991174900	-76.870110400	0.0		
T	2023-09-16 19:42:07.001	38.991186200	-76.870099900	0.0		
T	2023-09-16 19:42:08.001	38.991197900	-76.870087200	0.0		
T	2023-09-16 19:42:09.001	38.991209800	-76.870072300	0.0		
T	2023-09-16 19:42:10.001	38.991215900	-76.870059900	0.0		
T	2023-09-16 19:42:11	38.991221200	-76.870047100	0.0		
T	2023-09-16 19:42:12	38.991230500	-76.870035200	0.0		
T	2023-09-16 19:42:13.001	38.991230500	-76.870035200	0.0		
T	2023-09-16 19:42:14.001	38.991245400	-76.870008200	0.0		
T	2023-09-16 19:42:15.001	38.991254000	-76.869988400	0.0		
T	2023-09-16 19:42:16	38.991262600	-76.869977200	0.0		
T	2023-09-16 19:42:17.001	38.991270500	-76.869963200	0.0		
T	2023-09-16 19:42:18.001	38.991279300	-76.869950300	0.0		
T	2023-09-16 19:42:19	38.991287200	-76.869936800	0.0		
T	2023-09-16 19:42:20.001	38.991295400	-76.869921100	0.0		
T	2023-09-16 19:42:21.001	38.991304100	-76.869905600	0.0		
T	2023-09-16 19:42:22.001	38.991313900	-76.869890400	0.0		
T	2023-09-16 19:42:23.001	38.991323300	-76.869875000	0.0		
T	2023-09-16 19:42:24.001	38.991333200	-76.869860600	0.0		
T	2023-09-16 19:42:25.001	38.991348900	-76.869851700	0.0		
T	2023-09-16 19:42:26.001	38.991361100	-76.869839300	0.0		
T	2023-09-16 19:42:27.001	38.991361100	-76.869839300	0.0		
T	2023-09-16 19:42:28	38.991379600	-76.869812200	0.0		
T	2023-09-16 19:42:29.001	38.991387900	-76.869798100	0.0		
T	2023-09-16 19:42:30.001	38.991396700	-76.869783800	0.0		
T	2023-09-16 19:42:31.001	38.991405300	-76.869770700	0.0		
T	2023-09-16 19:42:32.001	38.991414800	-76.869758100	0.0		
T	2023-09-16 19:42:33.001	38.991414800	-76.869758100	0.0		
T	2023-09-16 19:42:34	38.991445400	-76.869747100	0.0		
T	2023-09-16 19:42:35.001	38.991456000	-76.869716900	0.0		
T	2023-09-16 19:42:36.001	38.991470800	-76.869694400	0.0		
T	2023-09-16 19:42:37.002	38.991482800	-76.869675800	0.0		
T	2023-09-16 19:42:38.001	38.991492300	-76.869658200	0.0		
T	2023-09-16 19:42:39.001	38.991499500	-76.869642700	0.0		
T	2023-09-16 19:42:40.002	38.991510600	-76.869622900	0.0		
T	2023-09-16 19:42:41	38.991523900	-76.869603600	0.0		
T	2023-09-16 19:42:42	38.991535700	-76.869583400	0.0		
